lng,lat,spp,name,spp_rtm,spp_dam
-96.956716,31.475354,-27.130000000000003,SCES_UNIT1,42.77,69.9
-96.954831,28.674719,-116.32000000000001,DUP_DUPV1_G1,-23.81,92.51
-96.936722,32.725505,-61.3,MCSES_UNIT6,42.67,103.97
-96.833846,28.570746,-108.19,VISTRON_PUN1,-15.45,92.74
-96.771099,28.511309,-98.69000000000001,NCARBID_PUN1,-7.29,91.4
-96.750626,29.916026,-10.850000000000001,FPPYD_FPP_G1,41.74,52.59
-96.695439,31.092056,-27.130000000000003,TNP_TNP_O_1,42.63,69.76
-96.674723,32.319935,-10.07,ETCCS_CCU,42.65,52.72
-96.615075,33.580987,-30.490000000000002,PANDA_S_CT1,42.73,73.22
-96.571871,29.535312,-46.7,SKY1,30.09,76.79
-96.56924,33.817847,-30.45000000000001,DENISON_G1_2,42.73,73.18
-96.552755,28.683052,-105.79,CALHOUN_ALL,-10.11,95.68
-96.546313,32.836693,-30.690000000000005,LHSES_UNIT1,42.68,73.37
-96.540798,28.695107,-105.1,FO_FORMOSG1,-8.82,96.28
-96.539894,28.649435,-105.1,FO_FORMOSA11,-8.82,96.28
-96.490885,32.756605,-29.990000000000002,FRNYPP_1_CCU,42.68,72.67
-96.487141,31.182416,-27.06000000000001,OGSES_1,42.48,69.54
-96.460658,30.721863,-27.209999999999994,DANSBY_ALL,42.11,69.32
-96.452393,33.067991,-30.229999999999997,OLIN_OLING_1,42.68,72.91
-96.372211,30.647455,-27.210000000000008,ATK_ATKINSG7,42.05,69.26
-96.318088,33.563556,-30.370000000000005,VLSES_UNIT3,42.72,73.09
-96.252773,31.423076,-26.989999999999995,LEG_LEG_G1,42.36,69.35
-96.126661,33.170393,-30.220000000000006,STEAM_ENG123,42.68,72.9
-96.111612,31.890452,-26.430000000000007,FREC_1_CCU,42.55,68.98
-96.101578,32.125833,-24.29,TRSES_UNIT6,42.6,66.89
-96.081494,30.620015,-27.28,GIB_GIB_CRG1,41.59,68.87
